기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육정원수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수	보육아동수
기간	자치구	동	계	국공립	법인	민간	민간	민간	부모협동	직장	가정	계	국공립	법인	민간	민간	민간	부모협동	직장	가정
기간	자치구	동	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정	계	국공립	법인	계	개인	단체(법인외)	부모협동	직장	가정
2011	합계	합계	243,440	55,150	2,734	128,361	118,568	9,793	744	8,833	47,618	214,863	51,294	2,539	112,967	104,698	8,269	617	6,782	40,664
2011	종로구	소계	4,238	1,792	141	1,263	1,076	187	-	901	141	3,794	1,671	124	1,068	918	150	-	813	118
2011	종로구	사직동	465	101	64	64	64	-	-	236	-	404	82	59	43	43	-	-	220	-
2011	종로구	삼청동	32	32	-	-	-	-	-	-	-	32	32	-	-	-	-	-	-	-
2011	종로구	부암동	121	89	-	32	32	-	-	-	-	114	82	-	32	32	-	-	-	-
2011	종로구	평창동	52	-	-	-	-	-	-	-	52	49	-	-	-	-	-	-	-	49
2011	종로구	무악동	454	175	-	279	279	-	-	-	-	381	157	-	224	224	-	-	-	-
2011	종로구	교남동	222	163	-	39	39	-	-	-	20	209	162	-	38	38	-	-	-	9
2011	종로구	가회동	178	49	-	80	80	-	-	49	-	170	47	-	75	75	-	-	48	-
2011	종로구	종로1.2.3.4가동	218	44	-	100	-	100	-	74	-	194	41	-	93	-	93	-	60	-
2011	종로구	종로5·6가동	182	35	-	147	147	-	-	-	-	154	22	-	132	132	-	-	-	-
2011	종로구	이화동	260	132	-	39	39	-	-	89	-	236	132	-	23	23	-	-	81	-
2011	종로구	혜화동	333	215	-	118	118	-	-	-	-	298	197	-	101	101	-	-	-	-
2011	종로구	창신1동	150	73	77	-	-	-	-	-	-	137	72	65	-	-	-	-	-	-
2011	종로구	창신2동	449	242	-	187	138	49	-	-	20	423	234	-	175	132	43	-	-	14
2011	종로구	창신3동	116	96	-	-	-	-	-	-	20	109	89	-	-	-	-	-	-	20
