기간	자치구	동	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 정원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황	보육시설 현원 현황
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2014	합계	합계	275,464	66,109	2,464	8,089	126,378	58,623	822	12,979	243,432	59,036	2,214	6,844	111,653	52,890	715	10,080
2014	종로구	소계	4,728	1,976	119	149	950	148	-	1,386	4,040	1,766	101	139	844	130	-	1,060
2014	종로구	사직동	646	101	42	-	64	-	-	439	512	94	42	-	52	-	-	324
2014	종로구	삼청동	32	32	-	-	-	-	-	-	31	31	-	-	-	-	-	-
2014	종로구	부암동	128	128	-	-	-	-	-	-	104	104	-	-	-	-	-	-
2014	종로구	평창동	185	113	-	-	33	39	-	-	175	104	-	-	33	38	-	-
2014	종로구	무악동	435	175	-	-	240	20	-	-	387	160	-	-	215	12	-	-
2014	종로구	교남동	202	163	-	-	39	-	-	-	189	153	-	-	36	-	-	-
2014	종로구	가회동	227	49	-	-	80	-	-	98	192	48	-	-	73	-	-	71
2014	종로구	종로1.2.3.4가동	358	-	-	100	-	-	-	258	282	-	-	100	-	-	-	182
2014	종로구	종로5·6가동	237	35	-	-	153	-	-	49	186	25	-	-	129	-	-	32
2014	종로구	이화동	260	132	-	-	39	-	-	89	228	122	-	-	34	-	-	72
2014	종로구	창신1동	180	83	77	-	-	20	-	-	158	79	59	-	-	20	-	-
2014	종로구	창신2동	394	281	-	49	44	20	-	-	338	245	-	39	41	13	-	-
2014	종로구	창신3동	116	96	-	-	-	20	-	-	95	75	-	-	-	20	-	-
2014	종로구	숭인1동	218	117	-	-	101	-	-	-	198	109	-	-	89	-	-	-
2014	종로구	숭인2동	120	52	-	-	-	29	-	39	103	50	-	-	-	27	-	26
2014	종로구	청운효자동	623	170	-	-	39	-	-	414	534	145	-	-	36	-	-	353
2014	종로구	혜화동	367	249	-	-	118	-	-	-	328	222	-	-	106	-	-	-
2014	중구	소계	4,039	1,807	-	427	458	317	-	1,030	3,410	1,531	-	351	426	314	-	788
2014	중구	소공동	479	-	-	-	-	-	-	479	373	-	-	-	-	-	-	373
2014	중구	회현동	117	87	-	-	-	-	-	30	86	62	-	-	-	-	-	24
2014	중구	명동	401	-	-	-	-	-	-	401	297	-	-	-	-	-	-	297
2014	중구	필동	79	79	-	-	-	-	-	-	64	64	-	-	-	-	-	-
2014	중구	장충동	116	67	-	49	-	-	-	-	97	53	-	44	-	-	-	-
2014	중구	광희동	219	99	-	-	-	-	-	120	174	80	-	-	-	-	-	94
2014	중구	을지로동	131	52	-	79	-	-	-	-	82	37	-	45	-	-	-	-
2014	중구	신당5동	369	173	-	83	113	-	-	-	307	146	-	55	106	-	-	-
2014	중구	황학동	257	165	-	-	32	60	-	-	235	145	-	-	30	60	-	-
2014	중구	중림동	270	128	-	84	-	58	-	-	253	120	-	77	-	56	-	-
2014	중구	신당동	190	151	-	-	39	-	-	-	146	119	-	-	27	-	-	-
2014	중구	다산동	329	195	-	49	52	33	-	-	293	171	-	47	42	33	-	-
2014	중구	약수동	514	261	-	83	111	59	-	-	495	242	-	83	111	59	-	-
2014	중구	청구동	264	131	-	-	75	58	-	-	245	113	-	-	74	58	-	-
2014	중구	동화동	304	219	-	-	36	49	-	-	263	179	-	-	36	48	-	-
2014	용산구	소계	5,670	1,535	89	453	2,003	979	33	578	5,038	1,400	75	386	1,786	893	24	474
2014	용산구	후암동	686	153	52	69	339	73	-	-	615	144	50	63	287	71	-	-
2014	용산구	용산2가동	272	170	-	-	84	18	-	-	225	135	-	-	72	18	-	-
2014	용산구	남영동	120	34	37	-	-	-	-	49	84	34	25	-	-	-	-	25
2014	용산구	원효로2동	365	89	-	40	97	139	-	-	345	83	-	34	94	134	-	-
2014	용산구	효창동	484	79	-	99	274	32	-	-	427	75	-	62	265	25	-	-
2014	용산구	용문동	410	70	-	40	220	80	-	-	377	70	-	31	197	79	-	-
