기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2018	합계	합계	263,157	89,293	1,948	5,909	103,278	42,957	1,038	18,734	226,959	79,732	1,714	4,997	87,658	38,323	826	13,709
2018	종로구	소계	4,902	2,216	119	149	442	70	-	1,906	3,829	1,791	77	118	368	57	-	1,418
2018	종로구	사직동	818	101	42	-	58	-	-	617	675	92	36	-	51	-	-	496
2018	종로구	삼청동	32	32	-	-	-	-	-	-	26	26	-	-	-	-	-	-
2018	종로구	부암동	151	128	-	-	-	-	-	23	120	106	-	-	-	-	-	14
2018	종로구	평창동	175	123	-	-	33	19	-	-	167	117	-	-	32	18	-	-
2018	종로구	무악동	260	240	-	-	-	20	-	-	212	202	-	-	-	10	-	-
2018	종로구	교남동	335	296	-	-	39	-	-	-	258	222	-	-	36	-	-	-
2018	종로구	가회동	227	49	-	-	80	-	-	98	172	45	-	-	66	-	-	61
2018	종로구	종로1.2.3.4가동	497	-	-	100	-	-	-	397	382	-	-	92	-	-	-	290
2018	종로구	종로5·6가동	257	-	-	-	114	-	-	143	175	-	-	-	102	-	-	73
2018	종로구	이화동	235	132	-	-	-	-	-	103	171	98	-	-	-	-	-	73
2018	종로구	창신1동	180	83	77	-	-	20	-	-	127	66	41	-	-	20	-	-
2018	종로구	창신2동	330	281	-	49	-	-	-	-	217	191	-	26	-	-	-	-
2018	종로구	창신3동	116	116	-	-	-	-	-	-	96	96	-	-	-	-	-	-
2018	종로구	숭인1동	117	117	-	-	-	-	-	-	113	113	-	-	-	-	-	-
2018	종로구	숭인2동	164	114	-	-	-	11	-	39	107	82	-	-	-	9	-	16
2018	종로구	청운효자동	656	170	-	-	-	-	-	486	530	135	-	-	-	-	-	395
2018	종로구	혜화동	352	234	-	-	118	-	-	-	281	200	-	-	81	-	-	-
2018	중구	소계	4,394	2,000	-	378	419	244	-	1,353	3,500	1,702	-	319	335	228	-	916
2018	중구	소공동	400	-	-	-	-	-	-	400	284	-	-	-	-	-	-	284
2018	중구	회현동	299	93	-	-	-	-	-	206	227	89	-	-	-	-	-	138
2018	중구	명동	578	-	-	-	-	-	-	578	404	-	-	-	-	-	-	404
2018	중구	필동	128	79	-	-	-	-	-	49	71	71	-	-	-	-	-	-
2018	중구	장충동	116	67	-	49	-	-	-	-	102	55	-	47	-	-	-	-
2018	중구	광희동	219	99	-	-	-	-	-	120	161	71	-	-	-	-	-	90
2018	중구	을지로동	131	52	-	79	-	-	-	-	71	29	-	42	-	-	-	-
2018	중구	신당5동	278	170	-	34	74	-	-	-	252	149	-	30	73	-	-	-
2018	중구	황학동	321	249	-	-	32	40	-	-	284	214	-	-	30	40	-	-
2018	중구	중림동	367	225	-	84	-	58	-	-	333	201	-	74	-	58	-	-
2018	중구	신당동	163	124	-	-	39	-	-	-	142	119	-	-	23	-	-	-
2018	중구	다산동	309	195	-	49	52	13	-	-	241	148	-	46	34	13	-	-
2018	중구	약수동	514	261	-	83	111	59	-	-	483	242	-	80	108	53	-	-
2018	중구	청구동	265	151	-	-	75	39	-	-	193	117	-	-	37	39	-	-
2018	중구	동화동	306	235	-	-	36	35	-	-	252	197	-	-	30	25	-	-
2018	용산구	소계	5,432	1,970	89	349	1,297	925	33	769	4,764	1,790	73	294	1,162	838	29	578
2018	용산구	후암동	618	153	52	69	251	93	-	-	540	136	46	63	210	85	-	-
2018	용산구	용산2가동	180	141	-	-	39	-	-	-	155	125	-	-	30	-	-	-
2018	용산구	남영동	131	45	37	-	-	-	-	49	96	45	27	-	-	-	-	24
2018	용산구	원효로2동	351	191	-	40	-	120	-	-	299	182	-	16	-	101	-	-
2018	용산구	효창동	367	100	-	20	214	33	-	-	342	97	-	18	204	23	-	-
2018	용산구	용문동	365	90	-	40	156	79	-	-	332	87	-	40	131	74	-	-
2018	용산구	이촌1동	397	22	-	-	119	256	-	-	382	21	-	-	114	247	-	-
2018	용산구	이촌2동	195	155	-	-	-	40	-	-	180	141	-	-	-	39	-	-
2018	용산구	이태원1동	230	-	-	52	65	40	-	73	208	-	-	49	56	35	-	68
2018	용산구	이태원2동	147	109	-	-	38	-	-	-	123	93	-	-	30	-	-	-
2018	용산구	서빙고동	258	166	-	-	22	70	-	-	234	154	-	-	18	62	-	-
2018	용산구	보광동	314	193	-	-	81	40	-	-	269	166	-	-	65	38	-	-
2018	용산구	청파동	560	168	-	84	191	37	-	80	494	157	-	80	183	20	-	54
2018	용산구	원효로1동	320	133	-	24	72	58	33	-	303	133	-	12	72	57	29	-
2018	용산구	한강로동	584	162	-	-	-	20	-	402	489	134	-	-	-	20	-	335
2018	용산구	한남동	415	142	-	20	49	39	-	165	318	119	-	16	49	37	-	97
2018	성동구	소계	8,381	4,622	-	202	1,990	1,234	-	333	7,286	4,058	-	159	1,664	1,184	-	221
2018	성동구	왕십리2동	446	201	-	-	188	57	-	-	422	184	-	-	184	54	-	-
2018	성동구	마장동	649	423	-	-	98	128	-	-	579	382	-	-	74	123	-	-
2018	성동구	사근동	189	108	-	-	-	-	-	81	173	99	-	-	-	-	-	74
2018	성동구	행당1동	493	320	-	-	65	59	-	49	423	281	-	-	43	57	-	42
2018	성동구	행당2동	583	215	-	-	159	209	-	-	529	205	-	-	121	203	-	-
2018	성동구	응봉동	302	114	-	79	50	59	-	-	215	102	-	50	8	55	-	-
2018	성동구	금호1가동	649	374	-	79	80	116	-	-	589	342	-	79	60	108	-	-
2018	성동구	금호4가동	422	181	-	-	122	119	-	-	352	128	-	-	109	115	-	-
2018	성동구	성수1가1동	357	244	-	44	69	-	-	-	289	206	-	30	53	-	-	-
2018	성동구	성수1가2동	319	107	-	-	153	59	-	-	296	101	-	-	139	56	-	-
2018	성동구	성수2가1동	333	88	-	-	199	19	-	27	308	80	-	-	185	17	-	26
2018	성동구	성수2가3동	365	95	-	-	171	20	-	79	295	87	-	-	143	19	-	46
2018	성동구	송정동	286	183	-	-	84	19	-	-	241	148	-	-	74	19	-	-
2018	성동구	용답동	583	263	-	-	236	35	-	49	507	243	-	-	217	32	-	15
2018	성동구	왕십리도선동	976	637	-	-	133	158	-	48	825	565	-	-	88	154	-	18
2018	성동구	금호2.3가동	688	469	-	-	160	59	-	-	615	398	-	-	160	57	-	-
2018	성동구	옥수동	741	600	-	-	23	118	-	-	628	507	-	-	6	115	-	-
2018	광진구	소계	8,696	2,615	-	20	4,747	1,097	85	132	7,548	2,303	-	20	4,098	987	37	103
2018	광진구	화양동	339	120	-	-	219	-	-	-	299	106	-	-	193	-	-	-
2018	광진구	군자동	657	192	-	-	364	70	-	31	516	148	-	-	324	31	-	13
2018	광진구	중곡1동	304	147	-	-	141	16	-	-	277	133	-	-	128	16	-	-
2018	광진구	중곡2동	531	159	-	-	333	39	-	-	484	149	-	-	297	38	-	-
2018	광진구	중곡3동	909	236	-	-	673	-	-	-	720	185	-	-	535	-	-	-
2018	광진구	중곡4동	848	171	-	-	532	109	36	-	723	154	-	-	458	96	15	-
2018	광진구	능동	236	175	-	-	21	40	-	-	210	153	-	-	20	37	-	-
2018	광진구	구의1동	483	135	-	-	328	20	-	-	417	115	-	-	284	18	-	-
2018	광진구	구의2동	683	152	-	-	430	52	49	-	592	130	-	-	388	52	22	-
2018	광진구	구의3동	587	215	-	-	178	194	-	-	529	198	-	-	145	186	-	-
2018	광진구	광장동	569	222	-	20	83	195	-	49	544	218	-	20	78	185	-	43
2018	광진구	자양1동	726	161	-	-	477	36	-	52	633	128	-	-	425	33	-	47
2018	광진구	자양2동	572	156	-	-	283	133	-	-	480	136	-	-	234	110	-	-
2018	광진구	자양3동	724	219	-	-	369	136	-	-	693	209	-	-	355	129	-	-
2018	광진구	자양4동	528	155	-	-	316	57	-	-	431	141	-	-	234	56	-	-
2018	동대문구	소계	9,344	3,703	-	204	3,424	1,628	-	385	7,997	3,293	-	163	2,805	1,453	-	283
2018	동대문구	회기동	247	83	-	-	-	54	-	110	207	79	-	-	-	50	-	78
2018	동대문구	휘경1동	311	49	-	-	183	79	-	-	223	40	-	-	129	54	-	-
2018	동대문구	휘경2동	685	177	-	99	174	192	-	43	598	170	-	82	148	174	-	24
2018	동대문구	청량리동	465	194	-	-	152	80	-	39	356	134	-	-	126	62	-	34
2018	동대문구	용신동	733	247	-	-	329	59	-	98	671	226	-	-	296	53	-	96
2018	동대문구	제기동	628	317	-	-	233	78	-	-	520	280	-	-	170	70	-	-
2018	동대문구	전농1동	847	401	-	49	320	77	-	-	725	361	-	32	256	76	-	-
2018	동대문구	전농2동	526	200	-	-	127	134	-	65	428	195	-	-	91	110	-	32
2018	동대문구	답십리1동	747	457	-	-	213	77	-	-	656	372	-	-	208	76	-	-
2018	동대문구	답십리2동	857	177	-	56	467	157	-	-	758	162	-	49	399	148	-	-
2018	동대문구	장안1동	1,324	638	-	-	449	237	-	-	1,198	579	-	-	384	235	-	-
2018	동대문구	장안2동	842	418	-	-	226	198	-	-	770	383	-	-	214	173	-	-
2018	동대문구	이문1동	460	110	-	-	245	75	-	30	322	107	-	-	126	70	-	19
2018	동대문구	이문2동	672	235	-	-	306	131	-	-	565	205	-	-	258	102	-	-
2018	중랑구	소계	11,496	3,277	-	276	6,073	1,698	-	172	9,986	2,982	-	254	5,078	1,521	-	151
2018	중랑구	면목2동	752	99	-	-	597	56	-	-	633	90	-	-	491	52	-	-
2018	중랑구	면목4동	601	195	-	-	348	58	-	-	458	159	-	-	246	53	-	-
2018	중랑구	면목5동	315	91	-	-	224	-	-	-	250	77	-	-	173	-	-	-
