기간	자치구	동	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 정원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원	보육시설 현원
기간	자치구	동	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장	계	국공립	사회복지법인	법인·단체 등	민간	가정	부모협동	직장
2019	합계	합계	254,538	96,595	1,890	5,878	91,892	38,168	1,042	19,073	217,444	85,465	1,580	4,872	77,121	33,223	850	14,333
2019	종로구	소계	4,881	2,316	100	149	370	70	-	1,876	3,581	1,747	46	90	294	51	-	1,353
2019	종로구	사직동	727	101	-	-	58	-	-	568	590	83	-	-	49	-	-	458
2019	종로구	삼청동	55	32	23	-	-	-	-	-	45	27	18	-	-	-	-	-
2019	종로구	부암동	154	131	-	-	-	-	-	23	136	121	-	-	-	-	-	15
2019	종로구	평창동	175	123	-	-	33	19	-	-	163	111	-	-	33	19	-	-
2019	종로구	무악동	260	240	-	-	-	20	-	-	210	203	-	-	-	7	-	-
2019	종로구	교남동	335	296	-	-	39	-	-	-	240	201	-	-	39	-	-	-
2019	종로구	가회동	227	49	-	-	80	-	-	98	174	44	-	-	65	-	-	65
2019	종로구	종로1.2.3.4가동	613	97	-	100	-	-	-	416	400	38	-	70	-	-	-	292
2019	종로구	종로5·6가동	257	-	-	-	114	-	-	143	151	-	-	-	73	-	-	78
2019	종로구	이화동	235	132	-	-	-	-	-	103	165	94	-	-	-	-	-	71
2019	종로구	창신1동	180	83	77	-	-	20	-	-	109	63	28	-	-	18	-	-
2019	종로구	창신2동	330	281	-	49	-	-	-	-	191	171	-	20	-	-	-	-
2019	종로구	창신3동	116	116	-	-	-	-	-	-	83	83	-	-	-	-	-	-
2019	종로구	숭인1동	117	117	-	-	-	-	-	-	113	113	-	-	-	-	-	-
2019	종로구	숭인2동	164	114	-	-	-	11	-	39	110	93	-	-	-	7	-	10
2019	종로구	청운효자동	656	170	-	-	-	-	-	486	488	124	-	-	-	-	-	364
2019	종로구	혜화동	280	234	-	-	46	-	-	-	213	178	-	-	35	-	-	-
2019	중구	소계	4,459	2,033	-	378	344	205	-	1,499	3,512	1,692	-	310	271	198	-	1,041
2019	중구	소공동	400	-	-	-	-	-	-	400	312	-	-	-	-	-	-	312
2019	중구	회현동	299	93	-	-	-	-	-	206	231	91	-	-	-	-	-	140
2019	중구	명동	703	-	-	-	-	-	-	703	463	-	-	-	-	-	-	463
2019	중구	필동	79	79	-	-	-	-	-	-	70	70	-	-	-	-	-	-
2019	중구	장충동	116	67	-	49	-	-	-	-	94	51	-	43	-	-	-	-
2019	중구	광희동	219	99	-	-	-	-	-	120	152	63	-	-	-	-	-	89
2019	중구	을지로동	201	52	-	79	-	-	-	70	95	21	-	37	-	-	-	37
2019	중구	신당5동	311	203	-	34	74	-	-	-	266	168	-	31	67	-	-	-
2019	중구	황학동	321	249	-	-	32	40	-	-	284	216	-	-	28	40	-	-
2019	중구	중림동	367	225	-	84	-	58	-	-	327	203	-	68	-	56	-	-
2019	중구	신당동	163	124	-	-	39	-	-	-	138	120	-	-	18	-	-	-
2019	중구	다산동	309	195	-	49	52	13	-	-	219	131	-	48	27	13	-	-
2019	중구	약수동	495	261	-	83	111	40	-	-	469	237	-	83	109	40	-	-
2019	중구	청구동	190	151	-	-	-	39	-	-	154	118	-	-	-	36	-	-
2019	중구	동화동	286	235	-	-	36	15	-	-	238	203	-	-	22	13	-	-
2019	용산구	소계	5,221	1,970	89	335	1,136	904	33	754	4,610	1,776	77	293	1,013	813	30	608
2019	용산구	후암동	554	153	52	69	167	113	-	-	498	143	48	64	156	87	-	-
2019	용산구	용산2가동	180	141	-	-	39	-	-	-	140	115	-	-	25	-	-	-
2019	용산구	남영동	131	45	37	-	-	-	-	49	103	45	29	-	-	-	-	29
2019	용산구	원효로2동	331	191	-	40	-	100	-	-	284	173	-	16	-	95	-	-
2019	용산구	효창동	367	100	-	20	214	33	-	-	347	98	-	20	201	28	-	-
2019	용산구	용문동	365	90	-	40	156	79	-	-	328	86	-	39	134	69	-	-
2019	용산구	이촌1동	377	22	-	-	119	236	-	-	365	22	-	-	111	232	-	-
2019	용산구	이촌2동	195	155	-	-	-	40	-	-	170	134	-	-	-	36	-	-
2019	용산구	이태원1동	230	-	-	52	65	40	-	73	210	-	-	51	53	39	-	67
2019	용산구	이태원2동	109	109	-	-	-	-	-	-	97	97	-	-	-	-	-	-
2019	용산구	서빙고동	257	166	-	-	22	69	-	-	217	144	-	-	8	65	-	-
2019	용산구	보광동	275	193	-	-	42	40	-	-	246	169	-	-	38	39	-	-
2019	용산구	청파동	560	168	-	84	191	37	-	80	467	147	-	74	168	17	-	61
2019	용산구	원효로1동	326	133	-	30	72	58	33	-	317	130	-	29	71	57	30	-
2019	용산구	한강로동	584	162	-	-	-	20	-	402	502	135	-	-	-	20	-	347
2019	용산구	한남동	380	142	-	-	49	39	-	150	319	138	-	-	48	29	-	104
2019	성동구	소계	8,113	4,613	-	202	1,790	1,174	-	334	7,005	4,012	-	147	1,531	1,083	-	232
2019	성동구	왕십리2동	446	201	-	-	188	57	-	-	417	184	-	-	185	48	-	-
2019	성동구	마장동	649	423	-	-	98	128	-	-	569	381	-	-	74	114	-	-
2019	성동구	사근동	189	108	-	-	-	-	-	81	173	99	-	-	-	-	-	74
2019	성동구	행당1동	473	300	-	-	65	59	-	49	407	275	-	-	29	58	-	45
2019	성동구	행당2동	583	215	-	-	159	209	-	-	507	194	-	-	116	197	-	-
2019	성동구	응봉동	252	114	-	79	-	59	-	-	205	107	-	42	-	56	-	-
2019	성동구	금호1가동	649	374	-	79	80	116	-	-	577	341	-	79	58	99	-	-
2019	성동구	금호4가동	405	164	-	-	122	119	-	-	355	138	-	-	103	114	-	-
2019	성동구	성수1가1동	357	244	-	44	69	-	-	-	293	208	-	26	59	-	-	-
2019	성동구	성수1가2동	295	130	-	-	126	39	-	-	260	114	-	-	108	38	-	-
2019	성동구	성수2가1동	295	88	-	-	160	19	-	28	264	76	-	-	144	19	-	25
2019	성동구	성수2가3동	323	114	-	-	110	20	-	79	270	102	-	-	109	17	-	42
2019	성동구	송정동	286	183	-	-	84	19	-	-	227	136	-	-	73	18	-	-
2019	성동구	용답동	583	263	-	-	236	35	-	49	470	220	-	-	210	18	-	22
2019	성동구	왕십리도선동	922	623	-	-	133	118	-	48	791	547	-	-	106	114	-	24
2019	성동구	금호2.3가동	688	469	-	-	160	59	-	-	601	388	-	-	157	56	-	-
2019	성동구	옥수동	718	600	-	-	-	118	-	-	619	502	-	-	-	117	-	-
2019	광진구	소계	8,329	2,764	-	20	4,358	1,006	49	132	7,080	2,510	-	17	3,574	857	32	90
2019	광진구	화양동	315	120	-	-	195	-	-	-	268	99	-	-	169	-	-	-
2019	광진구	군자동	620	241	-	-	296	52	-	31	437	213	-	-	183	34	-	7
2019	광진구	중곡1동	255	147	-	-	92	16	-	-	238	136	-	-	86	16	-	-
2019	광진구	중곡2동	531	159	-	-	333	39	-	-	475	149	-	-	289	37	-	-
2019	광진구	중곡3동	904	236	-	-	668	-	-	-	683	202	-	-	481	-	-	-
2019	광진구	중곡4동	763	171	-	-	483	109	-	-	650	158	-	-	417	75	-	-
2019	광진구	능동	236	175	-	-	21	40	-	-	206	150	-	-	21	35	-	-
2019	광진구	구의1동	481	135	-	-	326	20	-	-	393	110	-	-	270	13	-	-
2019	광진구	구의2동	657	152	-	-	399	57	49	-	593	147	-	-	359	55	32	-
2019	광진구	구의3동	588	235	-	-	178	175	-	-	511	215	-	-	126	170	-	-
2019	광진구	광장동	549	242	-	20	83	155	-	49	504	239	-	17	81	126	-	41
2019	광진구	자양1동	721	161	-	-	452	56	-	52	589	137	-	-	385	25	-	42
2019	광진구	자양2동	539	176	-	-	249	114	-	-	462	162	-	-	199	101	-	-
2019	광진구	자양3동	692	239	-	-	337	116	-	-	662	228	-	-	321	113	-	-
2019	광진구	자양4동	478	175	-	-	246	57	-	-	409	165	-	-	187	57	-	-
2019	동대문구	소계	8,892	3,676	-	204	3,154	1,473	-	385	7,568	3,260	-	154	2,591	1,280	-	283
2019	동대문구	회기동	238	74	-	-	-	54	-	110	187	70	-	-	-	40	-	77
2019	동대문구	휘경1동	341	79	-	-	183	79	-	-	253	67	-	-	130	56	-	-
2019	동대문구	휘경2동	647	177	-	99	174	154	-	43	563	171	-	76	150	139	-	27
2019	동대문구	청량리동	407	142	-	-	128	98	-	39	291	105	-	-	100	53	-	33
2019	동대문구	용신동	699	233	-	-	329	39	-	98	589	203	-	-	265	36	-	85
2019	동대문구	제기동	605	332	-	-	197	76	-	-	491	294	-	-	129	68	-	-
2019	동대문구	전농1동	833	371	-	49	356	57	-	-	688	346	-	32	254	56	-	-
2019	동대문구	전농2동	510	220	-	-	127	98	-	65	449	213	-	-	103	90	-	43
2019	동대문구	답십리1동	732	427	-	-	213	92	-	-	632	345	-	-	202	85	-	-
2019	동대문구	답십리2동	879	227	-	56	459	137	-	-	773	213	-	46	386	128	-	-
2019	동대문구	장안1동	1,184	638	-	-	309	237	-	-	1,113	584	-	-	298	231	-	-
2019	동대문구	장안2동	864	391	-	-	275	198	-	-	767	344	-	-	259	164	-	-
2019	동대문구	이문1동	370	130	-	-	170	40	-	30	261	107	-	-	99	37	-	18
2019	동대문구	이문2동	583	235	-	-	234	114	-	-	511	198	-	-	216	97	-	-
2019	중랑구	소계	10,973	3,684	-	325	5,232	1,474	26	232	9,425	3,195	-	287	4,408	1,341	24	170
2019	중랑구	면목2동	752	99	-	-	597	56	-	-	592	82	-	-	456	54	-	-
2019	중랑구	면목4동	502	195	-	-	268	39	-	-	386	161	-	-	188	37	-	-
2019	중랑구	면목5동	219	91	-	-	128	-	-	-	188	81	-	-	107	-	-	-
2019	중랑구	면목7동	597	172	-	-	375	50	-	-	510	149	-	-	313	48	-	-
2019	중랑구	상봉1동	517	273	-	-	129	115	-	-	490	256	-	-	127	107	-	-
2019	중랑구	상봉2동	479	101	-	151	167	-	-	60	397	88	-	135	158	-	-	16
2019	중랑구	중화1동	520	179	-	-	191	150	-	-	486	158	-	-	185	143	-	-
2019	중랑구	중화2동	559	301	-	-	183	75	-	-	466	233	-	-	167	66	-	-
2019	중랑구	묵1동	1,152	331	-	88	539	194	-	-	971	300	-	66	420	185	-	-
2019	중랑구	묵2동	497	111	-	-	288	98	-	-	429	104	-	-	233	92	-	-
2019	중랑구	망우3동	566	94	-	-	443	29	-	-	494	94	-	-	383	17	-	-
2019	중랑구	신내1동	1,507	607	-	20	433	348	26	73	1,359	562	-	20	381	312	24	60
2019	중랑구	신내2동	629	95	-	66	153	216	-	99	566	91	-	66	139	176	-	94
2019	중랑구	면목본동	788	221	-	-	533	34	-	-	719	201	-	-	484	34	-	-
2019	중랑구	면목3.8동	770	502	-	-	217	51	-	-	623	361	-	-	211	51	-	-
2019	중랑구	망우본동	919	312	-	-	588	19	-	-	749	274	-	-	456	19	-	-
2019	성북구	소계	10,661	4,467	109	897	3,097	1,764	50	277	9,039	3,791	98	794	2,558	1,561	36	201
2019	성북구	돈암1동	280	-	-	67	154	59	-	-	223	-	-	47	126	50	-	-
2019	성북구	돈암2동	556	384	-	-	-	172	-	-	494	340	-	-	-	154	-	-
2019	성북구	안암동	403	234	-	-	-	24	-	145	291	173	-	-	-	12	-	106
2019	성북구	보문동	354	111	-	79	164	-	-	-	312	99	-	72	141	-	-	-
2019	성북구	정릉1동	522	187	-	-	296	39	-	-	475	147	-	-	294	34	-	-
2019	성북구	정릉2동	295	40	-	-	127	98	30	-	260	39	-	-	113	86	22	-
2019	성북구	정릉3동	446	253	-	193	-	-	-	-	358	191	-	167	-	-	-	-
2019	성북구	정릉4동	892	356	-	185	261	90	-	-	733	316	-	152	185	80	-	-
2019	성북구	길음1동	1,019	326	-	-	292	368	20	13	929	289	-	-	278	344	14	4
2019	성북구	길음2동	383	240	-	-	64	79	-	-	307	166	-	-	64	77	-	-
2019	성북구	월곡1동	752	278	79	99	123	173	-	-	692	268	76	97	104	147	-	-
2019	성북구	월곡2동	592	290	-	44	109	79	-	70	491	247	-	42	85	66	-	51
2019	성북구	장위1동	317	146	-	-	131	40	-	-	248	130	-	-	78	40	-	-
2019	성북구	장위2동	450	42	-	74	301	33	-	-	372	41	-	69	235	27	-	-
2019	성북구	장위3동	528	230	-	20	182	96	-	-	463	215	-	20	143	85	-	-
2019	성북구	성북동	231	161	30	-	27	13	-	-	199	146	22	-	18	13	-	-
