"새주소","지번주소","좌표정보","좌표정보","테마코드","콘텐츠 코드","언어셋(KOR : 국문, ENG : 영문, JP : 일문, CHA : 중문-간체, CHB : 중문-번체)","콘텐츠 명","시도명(텍스트)","구명","동명","산지여부","주 번지","부 번지","기타주소","전화번호","상세정보 값 1","상세정보 값 2","상세정보 값 3","상세정보 값 4","상세정보 값 5","상세정보 값 6","상세정보 값 7","상세정보 값 8","상세정보 값 9","상세정보 값 10","상세정보 값 11","상세정보 값 12","상세정보 값 13","상세정보 값 14","상세정보 값 15","상세정보 값 16","상세정보 값 17","상세정보 값 18","상세정보 값 19","상세정보 값 20","상세정보 이름 1","상세정보 이름 2","상세정보 이름 3","상세정보 이름 4","상세정보 이름 5","상세정보 이름 6","상세정보 이름 7","상세정보 이름 8","상세정보 이름 9","상세정보 이름 10","상세정보 이름 11","상세정보 이름 12","상세정보 이름 13","상세정보 이름 14","상세정보 이름 15","상세정보 이름 16","상세정보 이름 17","상세정보 이름 18","상세정보 이름 19","상세정보 이름 20","좌표데이터","좌표 타입 (1:Point 3:Polyline 4:MultiPolyline 5:Polygon 6:MultiPolygon 8:multiPoint)","선 두께 1~10","테마 선 색상","키워드","등록일","수정일"
"목동동로 130","","126.871794310","37.515201758","100324","11470000160","KOR","참어린이집","","양천구","","","","","","02-2654-1998","가정","일반","20","11","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:28:00.0","2019-01-01 04:03:14.0"
"통일로18길 64","","126.960388466","37.576091206","100324","11110000023","KOR","무악어린이집","","종로구","","","","","","02-736-8003","국공립","시간연장형","96","85","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2019-01-03 04:00:06.0"
"종로50라길 41-3","","127.014881010","37.570430366","100324","11110000026","KOR","창일어린이집","","종로구","","","","","","02-763-3358","국공립","장애아통합 시간연장형 24시간","49","34","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-11-20 04:00:05.0"
"평창문화로 172","","126.978844169","37.611077707","100324","11110000066","KOR","엄마품어린이집","","종로구","","","","","","02-379-1317","가정","시간연장형","19","19","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:23.0","2019-01-18 04:00:07.0"
"낙산5길 33","","127.011001089","37.578997671","100324","11110000028","KOR","은행나무어린이집","","종로구","","","","","","02-744-5420","국공립","장애아통합 방과후 통합 시간연장형","141","90","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2019-01-05 04:00:05.0"
"북촌로12길 12-2","","126.985854697","37.581853037","100324","11110000029","KOR","가회어린이집","","종로구","","","","","","02-3673-2085","국공립","시간연장형","49","45","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2018-12-04 04:00:08.0"
"송월1길 73-7","","126.964363267","37.572912641","100324","11110000030","KOR","상록수어린이집","","종로구","","","","","","02-738-1773","국공립","시간연장형","163","110","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:24.0","2019-01-05 04:00:05.0"
"다산로6길 15","","127.009241315","37.552327874","100324","11140000019","KOR","약수어린이집","","중구","","","","","","02-2252-7672","국공립","장애아통합 시간연장형","95","90","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2019-01-19 04:00:06.0"
"만리동2가 만리재로 175","","126.963831883","37.553065869","100324","11140000020","KOR","만리어린이집","","중구","","","","","","02-312-8718","국공립","시간연장형","98","95","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2019-01-22 04:00:07.0"
"퇴계로88가길 8-10","","127.020762678","37.563016877","100324","11140000021","KOR","신당5동어린이집","","중구","","","","","","02-2234-2745","국공립","시간연장형","170","150","","","","","","","","","","","","","","","","","시설유형","시설특성","정원","현원","","","","","","","","","","","","","","","","","","1","2","#0000FF","","2018-10-12 17:30:19.0","2019-01-04 04:00:09.0"
