기간	자치구	동	인구	면적	인구밀도
2018	합계	합계	10,049,607	605.24	16,604
2018	종로구	소계	163,026	23.91	6,817
2018	종로구	사직동	9,818	1.23	7,982
2018	종로구	삼청동	3,073	1.49	2,062
2018	종로구	부암동	10,537	2.27	4,642
2018	종로구	평창동	19,105	8.87	2,154
2018	종로구	무악동	8,260	0.36	22,944
2018	종로구	교남동	10,846	0.35	30,989
2018	종로구	가회동	4,546	0.54	8,419
2018	종로구	종로1.2.3.4가동	8,462	2.35	3,601
2018	종로구	종로5·6가동	5,597	0.6	9,328
2018	종로구	이화동	8,621	0.78	11,053
2018	종로구	창신1동	6,237	0.31	20,119
2018	종로구	창신2동	10,015	0.26	38,519
2018	종로구	창신3동	7,439	0.23	32,343
2018	종로구	숭인1동	6,723	0.23	29,230
2018	종로구	숭인2동	10,088	0.35	28,823
2018	종로구	청운효자동	13,293	2.57	5,172
2018	종로구	혜화동	20,366	1.12	18,184
2018	중구	소계	135,633	9.96	13,618
2018	중구	소공동	2,936	0.95	3,091
2018	중구	회현동	5,952	0.84	7,086
2018	중구	명동	3,470	0.99	3,505
2018	중구	필동	5,045	1.14	4,425
2018	중구	장충동	5,653	1.36	4,157
2018	중구	광희동	6,057	0.74	8,185
2018	중구	을지로동	1,901	0.6	3,168
2018	중구	신당5동	9,691	0.39	24,849
2018	중구	황학동	13,380	0.33	40,545
2018	중구	중림동	12,980	0.48	27,042
2018	중구	신당동	9,419	0.55	17,125
2018	중구	다산동	15,113	0.51	29,633
2018	중구	약수동	17,973	0.48	37,444
2018	중구	청구동	14,844	0.34	43,659
2018	중구	동화동	11,219	0.26	43,150
2018	용산구	소계	245,090	21.87	11,209
2018	용산구	후암동	18,703	0.86	21,748
2018	용산구	용산2가동	12,107	1.96	6,177
2018	용산구	남영동	8,501	1.19	7,144
2018	용산구	원효로2동	15,064	0.71	21,217
2018	용산구	효창동	9,054	0.44	20,577
2018	용산구	용문동	12,757	0.28	45,561
2018	용산구	이촌1동	29,341	2.86	10,259
2018	용산구	이촌2동	9,090	1.22	7,451
2018	용산구	이태원1동	9,315	0.57	16,342
2018	용산구	이태원2동	10,927	0.86	12,706
2018	용산구	서빙고동	14,257	2.8	5,092
2018	용산구	보광동	16,124	0.71	22,710
2018	용산구	청파동	20,922	0.91	22,991
2018	용산구	원효로1동	16,034	0.59	27,176
2018	용산구	한강로동	19,209	2.9	6,624
2018	용산구	한남동	23,685	3.01	7,869
2018	성동구	소계	316,463	16.86	18,771
2018	성동구	왕십리2동	18,148	0.41	44,263
2018	성동구	마장동	24,157	1.06	22,790
2018	성동구	사근동	13,408	1.11	12,079
2018	성동구	행당1동	16,728	0.59	28,353
2018	성동구	행당2동	25,075	0.42	59,702
2018	성동구	응봉동	16,405	0.57	28,781
2018	성동구	금호1가동	16,191	0.46	35,198
2018	성동구	금호4가동	15,488	0.84	18,438
2018	성동구	성수1가1동	17,570	1.98	8,874
2018	성동구	성수1가2동	15,786	0.89	17,737
2018	성동구	성수2가1동	18,317	1.18	15,523
2018	성동구	성수2가3동	11,915	1.03	11,568
2018	성동구	송정동	11,778	0.68	17,321
2018	성동구	용답동	15,659	2.32	6,750
2018	성동구	왕십리도선동	27,853	0.72	38,685
2018	성동구	금호2.3가동	24,467	0.64	38,230
2018	성동구	옥수동	27,518	1.95	14,112
2018	광진구	소계	371,063	17.06	21,746
2018	광진구	화양동	24,804	1.16	21,383
2018	광진구	군자동	22,029	0.74	29,769
2018	광진구	중곡1동	16,500	0.62	26,613
2018	광진구	중곡2동	22,699	0.55	41,271
2018	광진구	중곡3동	17,843	0.6	29,738
2018	광진구	중곡4동	31,159	2.32	13,431
2018	광진구	능동	11,891	1.1	10,810
2018	광진구	구의1동	23,282	0.56	41,575
2018	광진구	구의2동	27,974	1.39	20,125
2018	광진구	구의3동	30,476	1.02	29,878
2018	광진구	광장동	36,309	2.39	15,192
2018	광진구	자양1동	24,476	0.57	42,940
2018	광진구	자양2동	27,435	1.68	16,330
2018	광진구	자양3동	30,132	1.2	25,110
2018	광진구	자양4동	24,054	1.16	20,736
2018	동대문구	소계	364,338	14.22	25,630
2018	동대문구	회기동	12,868	0.76	16,932
2018	동대문구	휘경1동	14,653	0.63	23,259
2018	동대문구	휘경2동	25,147	1.05	23,950
2018	동대문구	청량리동	22,527	1.2	18,773
2018	동대문구	용신동	31,961	1.61	19,852
2018	동대문구	제기동	27,576	1.18	23,369
2018	동대문구	전농1동	30,988	1.19	26,040
2018	동대문구	전농2동	20,351	0.86	23,664
2018	동대문구	답십리1동	29,492	0.81	36,410
2018	동대문구	답십리2동	28,970	0.85	34,082
2018	동대문구	장안1동	39,212	1.25	31,370
2018	동대문구	장안2동	31,649	1.09	29,036
2018	동대문구	이문1동	26,940	1.04	25,904
2018	동대문구	이문2동	22,004	0.69	31,890
2018	중랑구	소계	408,147	18.5	22,067
2018	중랑구	면목2동	26,482	0.73	36,277
2018	중랑구	면목4동	20,730	1.11	18,676
2018	중랑구	면목5동	10,071	0.64	15,736
2018	중랑구	면목7동	22,258	0.87	25,584
2018	중랑구	상봉1동	25,619	0.85	30,140
2018	중랑구	상봉2동	19,243	0.68	28,299
2018	중랑구	중화1동	21,030	0.68	30,926
2018	중랑구	중화2동	28,660	0.98	29,245
2018	중랑구	묵1동	36,233	1.2	30,194
2018	중랑구	묵2동	20,355	0.7	29,079
2018	중랑구	망우3동	18,334	0.99	18,519
2018	중랑구	신내1동	41,264	2.53	16,310
2018	중랑구	신내2동	22,379	0.99	22,605
2018	중랑구	면목본동	36,558	1.01	36,196
2018	중랑구	면목3.8동	27,139	1.67	16,251
2018	중랑구	망우본동	31,792	2.88	11,039
2018	성북구	소계	447,687	24.57	18,218
2018	성북구	돈암1동	16,404	0.49	33,478
2018	성북구	돈암2동	25,273	0.48	52,652
2018	성북구	안암동	17,260	1.33	12,977
2018	성북구	보문동	17,067	0.56	30,477
2018	성북구	정릉1동	18,642	0.44	42,368
2018	성북구	정릉2동	24,267	1.17	20,741
2018	성북구	정릉3동	17,294	3.71	4,661
2018	성북구	정릉4동	27,161	3.13	8,678
2018	성북구	길음1동	37,829	0.79	47,885
2018	성북구	길음2동	11,767	0.58	20,288
2018	성북구	월곡1동	27,854	0.81	34,388
2018	성북구	월곡2동	20,702	1.36	15,222
2018	성북구	장위1동	21,228	0.7	30,326
2018	성북구	장위2동	15,069	0.67	22,491
2018	성북구	장위3동	11,689	0.65	17,983
2018	성북구	성북동	17,902	2.86	6,259
2018	성북구	삼선동	26,971	0.92	29,316
2018	성북구	동선동	16,386	0.73	22,447
2018	성북구	종암동	42,876	1.46	29,367
2018	성북구	석관동	34,046	1.73	19,680
2018	강북구	소계	322,915	23.6	13,683
2018	강북구	번1동	19,964	0.55	36,298
2018	강북구	번2동	17,504	1.25	14,003
2018	강북구	번3동	18,967	0.86	22,055
2018	강북구	수유1동	22,338	1.07	20,877
2018	강북구	수유2동	22,526	0.73	30,858
2018	강북구	수유3동	24,280	0.86	28,233
2018	강북구	삼양동	26,575	0.95	27,974
2018	강북구	미아동	23,228	0.73	31,819
2018	강북구	송중동	29,549	1.22	24,220
2018	강북구	송천동	29,519	0.88	33,544
2018	강북구	삼각산동	33,524	0.62	54,071
2018	강북구	우이동	21,895	10.95	2,000
2018	강북구	인수동	33,046	2.93	11,278
2018	도봉구	소계	341,649	20.67	16,531
2018	도봉구	쌍문1동	22,428	1.24	18,087
2018	도봉구	쌍문2동	20,580	0.54	38,111
2018	도봉구	쌍문3동	17,406	0.5	34,812
2018	도봉구	쌍문4동	20,102	0.52	38,658
2018	도봉구	방학1동	30,563	0.69	44,294
2018	도봉구	방학2동	21,648	0.74	29,254
2018	도봉구	방학3동	29,336	2.64	11,112
2018	도봉구	창1동	26,725	0.88	30,369
2018	도봉구	창2동	31,351	1.07	29,300
2018	도봉구	창3동	15,150	0.67	22,612
2018	도봉구	창4동	28,464	0.96	29,650
2018	도봉구	창5동	26,029	0.7	37,184
2018	도봉구	도봉1동	22,839	8.72	2,619
2018	도봉구	도봉2동	29,028	0.83	34,973
2018	노원구	소계	548,160	35.44	15,468
2018	노원구	월계1동	24,087	1.16	20,765
2018	노원구	월계2동	26,692	1.94	13,759
2018	노원구	월계3동	32,496	1.17	27,774
2018	노원구	공릉2동	41,539	6.82	6,091
2018	노원구	하계1동	29,901	1.55	19,291
2018	노원구	하계2동	23,852	0.51	46,769
2018	노원구	중계본동	26,863	1.97	13,636
2018	노원구	중계1동	28,351	0.63	45,002
2018	노원구	중계4동	21,841	1.7	12,848
2018	노원구	상계1동	41,010	5.62	7,297
2018	노원구	상계2동	21,624	0.61	35,449
2018	노원구	상계5동	26,230	1.01	25,970
2018	노원구	상계8동	24,427	0.67	36,458
2018	노원구	상계9동	22,348	0.81	27,590
2018	노원구	상계10동	17,021	0.8	21,276
2018	노원구	상계3.4동	26,622	5.05	5,272
2018	노원구	상계6.7동	35,480	1.11	31,964
2018	노원구	중계2.3동	37,786	0.9	41,984
2018	노원구	공릉1동	39,990	1.41	28,362
2018	은평구	소계	487,666	29.71	16,415
2018	은평구	녹번동	34,901	1.79	19,498
2018	은평구	불광1동	41,585	3.13	13,286
2018	은평구	갈현1동	25,191	0.97	25,970
2018	은평구	갈현2동	30,692	0.96	31,971
2018	은평구	구산동	34,132	1.38	24,733
2018	은평구	대조동	32,608	0.85	38,362
2018	은평구	응암1동	26,185	1.2	21,821
2018	은평구	응암2동	21,086	0.78	27,033
2018	은평구	신사1동	28,926	0.84	34,436
2018	은평구	신사2동	22,247	1	22,247
2018	은평구	증산동	16,412	0.81	20,262
2018	은평구	수색동	11,266	1.29	8,733
2018	은평구	진관동	56,487	11.53	4,899
2018	은평구	불광2동	29,914	1.38	21,677
2018	은평구	응암3동	26,417	0.63	41,932
2018	은평구	역촌동	49,617	1.16	42,773
2018	서대문구	소계	323,080	17.62	18,331
2018	서대문구	천연동	19,044	0.97	19,633
2018	서대문구	홍제1동	23,123	1.23	18,799
2018	서대문구	홍제3동	16,616	0.81	20,514
2018	서대문구	홍제2동	14,934	1.05	14,223
2018	서대문구	홍은1동	24,131	1.58	15,273
2018	서대문구	홍은2동	29,004	2.06	14,080
2018	서대문구	남가좌1동	17,199	0.51	33,724
2018	서대문구	남가좌2동	24,989	0.77	32,453
2018	서대문구	북가좌1동	19,311	0.52	37,137
2018	서대문구	북가좌2동	34,237	0.84	40,758
2018	서대문구	충현동	18,291	1.12	16,331
2018	서대문구	북아현동	17,832	0.46	38,765
2018	서대문구	신촌동	23,917	2.63	9,094
2018	서대문구	연희동	40,452	3.05	13,263
2018	마포구	소계	386,359	23.85	16,199
2018	마포구	용강동	22,647	0.84	26,961
2018	마포구	대흥동	13,661	0.88	15,524
2018	마포구	염리동	13,063	0.43	30,379
2018	마포구	신수동	21,806	0.78	27,956
2018	마포구	서교동	26,264	1.65	15,918
2018	마포구	합정동	19,535	1.72	11,358
2018	마포구	망원1동	22,125	1.13	19,580
2018	마포구	망원2동	19,641	0.67	29,315
2018	마포구	연남동	17,393	0.64	27,177
2018	마포구	성산1동	20,443	0.8	25,554
2018	마포구	성산2동	41,743	2.07	20,166
2018	마포구	상암동	33,550	8.4	3,994
2018	마포구	도화동	22,845	0.62	36,847
2018	마포구	서강동	25,622	1.45	17,670
2018	마포구	공덕동	40,506	1.01	40,105
2018	마포구	아현동	25,515	0.76	33,572
2018	양천구	소계	468,145	17.41	26,894
2018	양천구	목1동	32,458	1.41	23,020
2018	양천구	목2동	31,754	1.03	30,829
2018	양천구	목3동	23,231	0.53	43,832
2018	양천구	목4동	27,289	0.57	47,875
2018	양천구	신월1동	22,379	0.65	34,429
2018	양천구	신월2동	22,853	0.61	37,464
2018	양천구	신월3동	17,186	0.87	19,754
2018	양천구	신월4동	19,335	0.52	37,183
2018	양천구	신월5동	15,759	0.69	22,839
2018	양천구	신월6동	6,815	0.41	16,622
2018	양천구	신월7동	22,347	1.19	18,779
2018	양천구	신정1동	21,677	0.7	30,967
2018	양천구	신정2동	20,987	0.52	40,360
2018	양천구	신정3동	48,799	2.72	17,941
2018	양천구	신정6동	25,500	0.96	26,563
2018	양천구	신정7동	30,193	1.21	24,953
2018	양천구	목5동	43,390	1.81	23,972
2018	양천구	신정4동	36,193	1.01	35,835
2018	강서구	소계	603,611	41.44	14,567
2018	강서구	염창동	41,016	1.74	23,572
2018	강서구	등촌1동	23,558	0.59	39,929
2018	강서구	등촌2동	22,118	0.92	24,041
2018	강서구	등촌3동	33,279	0.79	42,125
2018	강서구	화곡본동	36,390	1.11	32,784
2018	강서구	화곡2동	20,041	0.47	42,640
2018	강서구	화곡3동	22,730	0.51	44,569
2018	강서구	화곡4동	22,694	0.82	27,676
2018	강서구	화곡6동	24,840	1.12	22,179
2018	강서구	화곡8동	26,833	0.53	50,628
2018	강서구	가양1동	33,556	4.7	7,140
2018	강서구	가양2동	15,763	1	15,763
2018	강서구	가양3동	16,516	0.99	16,683
2018	강서구	발산1동	38,879	2.96	13,135
2018	강서구	공항동	28,646	10.87	2,635
2018	강서구	방화1동	46,357	1.04	44,574
2018	강서구	방화2동	24,391	6.41	3,805
2018	강서구	방화3동	24,912	2.38	10,467
2018	강서구	화곡1동	54,687	1.12	48,828
2018	강서구	우장산동	46,405	1.36	34,121
2018	구로구	소계	438,486	20.12	21,793
2018	구로구	신도림동	37,615	1.47	25,588
2018	구로구	구로1동	21,911	1.02	21,481
2018	구로구	구로3동	26,974	1.02	26,445
2018	구로구	구로4동	27,165	0.46	59,054
2018	구로구	구로5동	34,085	1.03	33,092
2018	구로구	고척1동	24,659	1.16	21,258
2018	구로구	고척2동	29,543	1.02	28,964
2018	구로구	개봉2동	33,715	0.8	42,144
2018	구로구	개봉3동	22,156	0.81	27,353
2018	구로구	오류1동	22,651	0.59	38,392
2018	구로구	오류2동	45,398	4.6	9,869
2018	구로구	수궁동	25,461	2.67	9,536
2018	구로구	가리봉동	16,206	0.4	40,515
2018	구로구	구로2동	36,289	1.76	20,619
2018	구로구	개봉1동	34,658	1.31	26,456
2018	금천구	소계	254,021	13.02	19,510
2018	금천구	가산동	24,459	2.52	9,706
2018	금천구	독산1동	41,826	2.09	20,012
2018	금천구	독산2동	22,103	0.6	36,838
2018	금천구	독산3동	30,702	0.92	33,372
2018	금천구	독산4동	18,776	0.59	31,824
2018	금천구	시흥1동	37,078	1.71	21,683
2018	금천구	시흥2동	23,253	1.26	18,455
2018	금천구	시흥3동	11,740	1.07	10,972
2018	금천구	시흥4동	22,747	0.87	26,146
2018	금천구	시흥5동	21,337	1.39	15,350
2018	영등포구	소계	403,600	24.55	16,441
2018	영등포구	여의동	33,973	8.4	4,044
2018	영등포구	당산1동	21,361	0.75	28,481
2018	영등포구	당산2동	36,191	1.55	23,349
2018	영등포구	양평1동	17,959	0.88	20,408
2018	영등포구	양평2동	22,962	3	7,654
2018	영등포구	신길1동	19,696	0.66	29,842
2018	영등포구	신길3동	17,563	0.52	33,775
2018	영등포구	신길4동	10,425	0.35	29,786
2018	영등포구	신길5동	11,649	0.47	24,785
2018	영등포구	신길6동	19,801	0.68	29,119
2018	영등포구	신길7동	17,216	0.64	26,900
